tweet_screen_name,full_name,tweet_count
HernanUlloa,Hernán Stalin Ulloa Ordonez,1183
abenavidesgol1,Andrés Benavides,1070
wgomezr,Walter Javier Gomez Ronquillo,804
jimmyjairala,Jimmy Jairala,662
LuisaMaldonadoM,Luisa Maldonado,574
LoroHomero,Jorge Yunda,509
VickyDesintonio,Victoria Tatiana Desintonio Malave,477
CynthiaViteri6,Cynthia Viteri,357
fcojimenez21,Francisco Jimenez Sanchez,335
mrivadeneirac,María Fernanda Rivadeneira Cuzco,289
