term,tf,idf,tf_idf
guayaquil,175,0.712949807856125,124.76621637482188
seguir,102,1.252762968495368,127.78182278652754
ciudad,85,1.4350845252893227,121.98218464959243
junto,69,1.6436292771823797,113.4104201255842
nuevo,58,1.8172927712332196,105.40298073152674
progreso,56,1.8523840910444898,103.73350909849142
sueno,56,1.8523840910444898,103.73350909849142
cada,52,1.9264920631982116,100.177587286307
guayaquileno,51,1.9459101490553132,99.24141760182097
hacer,50,1.965712776351493,98.28563881757465
obra,45,2.0710732920093196,93.19829814041938
bienestar,45,2.0710732920093196,93.19829814041938
centro,44,2.0935461478613777,92.11603050590062
grande,43,2.116535666086077,91.0110336417013
sigueguayaquilsigar,40,2.188856327665703,87.55425310662812
joven,38,2.2401496220532535,85.12568563802364
gracias,36,2.294216843323529,82.59180635964704
seguirar,34,2.3513752571634776,79.94675874355823
futuro,30,2.4765384001174837,74.29615200352451
droga,28,2.545531271604435,71.27487560492418
