term,tf,idf,tf_idf
cpccs,152,0.41419878807691896,62.95821578769168
jcarlostuarez,72,1.16141318990714,83.62174967331408
ecuador,46,1.6094379124341003,74.03414397196862
padre,39,1.774517662793549,69.20618884894841
puesto7,36,1.8545603704670854,66.76417333681508
familia,36,1.8545603704670854,66.76417333681508
provincia,32,1.9723434061234688,63.114988995951
pueblo,30,2.03688192726104,61.106457817831206
ecuatoriano,30,2.03688192726104,61.106457817831206
padrejosetuarez,29,2.0707834789367214,60.052720889164924
medio,28,2.1058747987479913,58.96449436494376
junto,28,2.1058747987479913,58.96449436494376
elecciones2019ec,28,2.1058747987479913,58.96449436494376
ciudadano,27,2.1422424429188665,57.84054595880939
gracias,27,2.1422424429188665,57.84054595880939
seguir,26,2.1799827709017134,56.67955204344455
amigo,26,2.1799827709017134,56.67955204344455
compartir,26,2.1799827709017134,56.67955204344455
tuarez,25,2.2192034840549946,55.48008710137486
marzo,25,2.2192034840549946,55.48008710137486
