term,tf,idf,tf_idf
victoriadelapatrio,203,0.8543105118465538,173.42503390485044
vickydesintonio,148,1.1703042171242262,173.20502413438547
ciudadano,130,1.2999820404327587,168.9976652562586
cpccs,86,1.7131691946348335,147.33255073859567
ganaremosecuador,82,1.7607972436240882,144.38537397717522
ecuatoriano,77,1.8237110690346574,140.42575231566863
casillero6,76,1.83678315060201,139.59551944575276
voto,75,1.8500283773520307,138.7521283014023
participacion,71,1.9048366138470259,135.24339958313882
marzo,58,2.107073480341922,122.21026185983148
pueblo,57,2.1244652230537913,121.0945177140661
consejo,56,2.142164800153192,119.96122880857874
social,56,2.142164800153192,119.96122880857874
eleccionescpccs,52,2.216272772306914,115.24618415995953
mujer,48,2.2963154799804504,110.22314303906163
popular,43,2.4063163751947787,103.47160413337548
cnegobec,41,2.4539444241840336,100.61172139154537
oficial,40,2.478637036774405,99.1454814709762
poder,39,2.503954844758695,97.6542389455891
victoria,37,2.5565985782441167,94.59414739503232
